원본경로	추정type	목표영역	판정	분할신호	줄수	비고
datasets/mt/olist_reviews_mt_bench/REPORT.md	dataset	data/catalog	판정필요	decision+plan+report+research	258	신호 4종·258줄
datasets/mt/olist_reviews_mt_bench/legacy/README.md	guide	각 폴더 유지	판정필요		15	15줄 — 작업 로그·폐기 기록 후보
datasets/mt/olist_reviews_mt_bench/scripts/codex_cautious_runner.md	dataset	data/catalog	판정필요		18	18줄 — 작업 로그·폐기 기록 후보
datasets/mt/olist_reviews_mt_bench/scripts/codex_review_extra_runner.md	dataset	data/catalog	판정필요		23	23줄 — 작업 로그·폐기 기록 후보
datasets/mt/olist_reviews_mt_bench/scripts/mt_bench_runner_extra_review.md	dataset	data/catalog	판정필요		27	27줄 — 작업 로그·폐기 기록 후보
datasets/mt/olist_reviews_mt_bench/scripts/mt_bench_runner_single_report.md	dataset	data/catalog	판정필요		10	10줄 — 작업 로그·폐기 기록 후보
datasets/voc/aihub_102_smb_order_qa/REPORT.md	dataset	data/catalog	판정필요	report+research+policy	105	신호 3종·105줄
datasets/voc/aihub_30716_callcenter_qa/REPORT.md	dataset	data/catalog	판정필요	report+research	92	REPORT 분할 신호 (report-split.md)
datasets/voc/aihub_71603_aspect_sentiment/REPORT.md	dataset	data/catalog	판정필요	report+research	88	REPORT 분할 신호 (report-split.md)
datasets/voc/aihub_71844_llm_instruction_tuning/REPORT.md	dataset	data/catalog	판정필요	report+research	88	REPORT 분할 신호 (report-split.md)
datasets/voc/data_go_kr_consumer_complaints/REPORT.md	dataset	data/catalog	유지		55	
datasets/voc/ecmc_dispute_casebook_2024/REPORT.md	dataset	data/catalog	판정필요	report+research	37	37줄 — 작업 로그·폐기 기록 후보
datasets/voc/kaggle_customer_support/REPORT.md	dataset	data/catalog	유지		55	
datasets/voc/naver_shopping_sentiment/REPORT.md	dataset	data/catalog	판정필요		91	REPORT 분할 신호 (report-split.md)
datasets/voc/nikl_ne_2022/REPORT.md	dataset	data/catalog	판정필요	report+research	39	39줄 — 작업 로그·폐기 기록 후보
datasets/voc/sources_catalog/PLAN.md	dataset	data/catalog	판정필요	decision+plan+policy	279	신호 3종·279줄
datasets/voc/sources_catalog/REPORT.md	dataset	data/catalog	유지		78	
datasets/voc/sources_catalog/_codex_independent_research_2026-08-20.md	dataset	data/catalog	판정필요	decision+research	264	REPORT 분할 신호 (report-split.md)
datasets/voc/sources_catalog/_review_spam_detection_codex_논의_2026-08-20.md	dataset	data/catalog	판정필요	decision+plan+research+policy	197	신호 4종·197줄
datasets/voc/sources_catalog/_완결성점검_codex_2026-08-20.md	dataset	data/catalog	유지	decision+research	131	
final_project_cs/CLAUDE.md	policy	루트 유지	유지		220	
final_project_cs/RULE.md	?	?	유지	research+policy	280	
final_project_cs/docs/TODO/보류_실비용_사람작업.md	?	?	제외		46	완료된 TODO
final_project_cs/docs/evidence/2026-08-31_테스트_사각지대_회귀테스트_검증.md	evidence	cs/quality	유지		87	
final_project_cs/docs/evidence/DoD-01_v4원본_hash_불변.md	evidence	cs/quality	판정필요		32	32줄 — 작업 로그·폐기 기록 후보
final_project_cs/docs/evidence/DoD-02_상태전이_규약_준수.md	evidence	cs/quality	유지		65	
final_project_cs/docs/evidence/DoD-03_동시성_appendonly_replay.md	evidence	cs/quality	유지		76	
final_project_cs/docs/evidence/DoD-04_checkpoint_projection_분리.md	evidence	cs/quality	유지		49	
final_project_cs/docs/evidence/DoD-05_ContextPack_토큰예산.md	evidence	cs/quality	유지		56	
final_project_cs/docs/evidence/DoD-06_정책FAQ_25건_300청크.md	evidence	cs/quality	유지	decision+report	113	
final_project_cs/docs/evidence/DoD-07_tenant격리_PII.md	evidence	cs/quality	유지		73	
final_project_cs/docs/evidence/DoD-08_TeamModule_manifest_호환.md	evidence	cs/quality	유지	decision+policy	61	
final_project_cs/docs/evidence/DoD-09_인라인분류_전건실행.md	evidence	cs/quality	유지		56	
final_project_cs/docs/evidence/DoD-10_일일배치_급증report.md	evidence	cs/quality	유지		59	
final_project_cs/docs/evidence/DoD-11_action_idempotency_승인.md	evidence	cs/quality	유지		132	
final_project_cs/docs/evidence/DoD-12_outbox_원자성_replay.md	evidence	cs/quality	유지		87	
final_project_cs/docs/evidence/DoD-13_REST5_MCP3_계약일치.md	evidence	cs/quality	유지	decision+report	48	
final_project_cs/docs/evidence/DoD-14_API키_scope_구분.md	evidence	cs/quality	유지		91	
final_project_cs/docs/evidence/DoD-15_AB_Proposed_60x3_holdout.md	evidence	cs/quality	유지		181	
final_project_cs/docs/evidence/DoD-16_bootstrap_McNemar_한계.md	evidence	cs/quality	유지		76	
final_project_cs/docs/evidence/DoD-17_마일스톤_게이트.md	evidence	cs/quality	유지	decision+report+policy	91	
final_project_cs/docs/evidence/DoD-18_UI_시나리오_종단표시.md	evidence	cs/quality	유지	plan+report	196	
final_project_cs/docs/evidence/DoD-19_LOCAL_A2A_정규화.md	evidence	cs/quality	유지		51	
final_project_cs/docs/evidence/DoD-20_Port교체_Controller불변.md	evidence	cs/quality	유지		45	
final_project_cs/docs/evidence/DoD-21_Graph_관계질의.md	evidence	cs/quality	유지		73	
final_project_cs/docs/evidence/DoD-22_Team_직접Tool호출_금지.md	evidence	cs/quality	유지		59	
final_project_cs/docs/evidence/DoD-23_consumer_idempotency.md	evidence	cs/quality	유지		60	
final_project_cs/docs/evidence/DoD-24_ActionProposal_근거대조.md	evidence	cs/quality	유지		139	
final_project_cs/docs/evidence/DoD-25_degraded_자동실행_금지.md	evidence	cs/quality	유지		68	
final_project_cs/docs/evidence/DoD-26_A2A_Catalog_왕복.md	evidence	cs/quality	유지		79	
final_project_cs/docs/evidence/DoD-27_A2A_실패_취소_인증.md	evidence	cs/quality	유지		89	
final_project_cs/docs/evidence/DoD-28_파인튜닝_방어지표.md	evidence	cs/quality	판정필요	decision+report+research	342	신호 3종·342줄
final_project_cs/docs/evidence/DoD-29_ResponseGenerationReview.md	evidence	cs/quality	판정필요	decision+plan+policy	162	신호 3종·162줄
final_project_cs/docs/evidence/DoD-EVAL-DATASETS_검증.md	evidence	cs/quality	유지		95	
final_project_cs/docs/evidence/EVAL-RUNNER-IMPORT-FIX.md	evidence	cs/quality	유지		70	
final_project_cs/docs/evidence/LIVE-CLASSIFIER-E2E_검증.md	evidence	cs/quality	유지		99	
final_project_cs/docs/evidence/MODULE-TOGGLES_실효화_검증.md	evidence	cs/quality	유지		112	
final_project_cs/docs/evidence/PROD-CLASSIFIER-DOMAIN-MISMATCH_수정.md	evidence	cs/quality	유지		99	
final_project_cs/docs/evidence/_raw/DoD-04.md	evidence	cs/quality	제외		23	인용되지 않은 중간판
final_project_cs/docs/evidence/_raw/DoD-04_v2.md	evidence	cs/quality	제외		36	인용되지 않은 중간판
final_project_cs/docs/evidence/_raw/DoD-04_v3.md	evidence	cs/quality	유지		36	판정본이 인용하는 실측 원문. 끊으면 근거 사슬이 끊긴다
final_project_cs/docs/evidence/_raw/DoD-05.md	evidence	cs/quality	제외		27	인용되지 않은 중간판
final_project_cs/docs/evidence/_raw/DoD-05_v2.md	evidence	cs/quality	제외		32	인용되지 않은 중간판
final_project_cs/docs/evidence/_raw/DoD-05_v3.md	evidence	cs/quality	제외		34	인용되지 않은 중간판
final_project_cs/docs/evidence/_raw/DoD-05_v4.md	evidence	cs/quality	유지		24	판정본이 인용하는 실측 원문. 끊으면 근거 사슬이 끊긴다
final_project_cs/docs/evidence/_raw/DoD-07.md	evidence	cs/quality	제외		29	인용되지 않은 중간판
final_project_cs/docs/evidence/_raw/DoD-07_v2.md	evidence	cs/quality	유지		50	판정본이 인용하는 실측 원문. 끊으면 근거 사슬이 끊긴다
final_project_cs/docs/evidence/_raw/DoD-08.md	evidence	cs/quality	유지		22	판정본이 인용하는 실측 원문. 끊으면 근거 사슬이 끊긴다
final_project_cs/docs/evidence/_raw/DoD-09.md	evidence	cs/quality	제외		28	인용되지 않은 중간판
final_project_cs/docs/evidence/_raw/DoD-09_v2.md	evidence	cs/quality	유지		44	판정본이 인용하는 실측 원문. 끊으면 근거 사슬이 끊긴다
final_project_cs/docs/evidence/_raw/DoD-10.md	evidence	cs/quality	제외		29	인용되지 않은 중간판
final_project_cs/docs/evidence/_raw/DoD-10_v2.md	evidence	cs/quality	제외		28	인용되지 않은 중간판
final_project_cs/docs/evidence/_raw/DoD-10_v3.md	evidence	cs/quality	제외		45	인용되지 않은 중간판
final_project_cs/docs/evidence/_raw/DoD-10_v4.md	evidence	cs/quality	유지		27	판정본이 인용하는 실측 원문. 끊으면 근거 사슬이 끊긴다
final_project_cs/docs/evidence/_raw/DoD-11_v3.md	evidence	cs/quality	유지		45	판정본이 인용하는 실측 원문. 끊으면 근거 사슬이 끊긴다
final_project_cs/docs/evidence/_raw/DoD-13.md	evidence	cs/quality	유지		21	판정본이 인용하는 실측 원문. 끊으면 근거 사슬이 끊긴다
final_project_cs/docs/evidence/_raw/DoD-14.md	evidence	cs/quality	유지		26	판정본이 인용하는 실측 원문. 끊으면 근거 사슬이 끊긴다
final_project_cs/docs/evidence/_raw/DoD-15.md	evidence	cs/quality	제외		31	인용되지 않은 중간판
final_project_cs/docs/evidence/_raw/DoD-16.md	evidence	cs/quality	제외		25	인용되지 않은 중간판
final_project_cs/docs/evidence/_raw/DoD-17.md	evidence	cs/quality	유지		35	판정본이 인용하는 실측 원문. 끊으면 근거 사슬이 끊긴다
final_project_cs/docs/evidence/_raw/DoD-18.md	evidence	cs/quality	유지		28	판정본이 인용하는 실측 원문. 끊으면 근거 사슬이 끊긴다
final_project_cs/docs/evidence/_raw/DoD-18_v3.md	evidence	cs/quality	제외		42	인용되지 않은 중간판
final_project_cs/docs/handoff/01_계약_Pydantic.md	contract	cs/teams·external·data	유지	research+policy	222	
final_project_cs/docs/handoff/02_DB_스키마.md	contract	cs/teams·external·data	유지	report+policy	245	
final_project_cs/docs/handoff/03_REST_MCP_인터페이스.md	contract	cs/teams·external·data	유지		162	
final_project_cs/docs/handoff/04_Team_모듈_계약.md	contract	cs/teams·external·data	유지		111	
final_project_cs/docs/handoff/05_분업_규칙.md	contract	cs/teams·external·data	유지	plan+report+research+concept+policy	93	
final_project_cs/docs/handoff/06_가드레일_수치.md	contract	cs/teams·external·data	유지		121	
final_project_cs/docs/handoff/07_모듈화_구조.md	contract	cs/teams·external·data	판정필요	plan+report+concept+policy	142	신호 4종·142줄
final_project_cs/docs/handoff/08_모듈_컴포넌트_목록.md	contract	cs/teams·external·data	유지	concept+policy	222	
final_project_cs/docs/handoff/09_Composer_GUI_계약.md	contract	cs/teams·external·data	판정필요	plan+report+concept	203	신호 3종·203줄
final_project_cs/docs/handoff/10_도메인_교체_가이드.md	contract	cs/teams·external·data	유지		149	
final_project_cs/docs/handoff/11_basement_version_reference.md	contract	cs/teams·external·data	판정필요		14	14줄 — 작업 로그·폐기 기록 후보
final_project_cs/docs/handoff/12_메시지_컨슈머_멱등성_계약.md	contract	cs/teams·external·data	판정필요		20	20줄 — 작업 로그·폐기 기록 후보
final_project_cs/docs/handoff/13_introspection_계약.md	contract	cs/teams·external·data	판정필요		10	10줄 — 작업 로그·폐기 기록 후보
final_project_cs/docs/handoff/README.md	guide	각 폴더 유지	판정필요		21	21줄 — 작업 로그·폐기 기록 후보
final_project_cs/docs/history/2026-08-12_Claude.md	?	?	제외		46	git 으로 복원 가능. 결정만 추출
final_project_cs/docs/history/2026-08-12_S-API.md	?	?	제외		7	내용 없음
final_project_cs/docs/history/2026-08-12_S-API_fix.md	?	?	제외		7	내용 없음
final_project_cs/docs/history/2026-08-12_S-CTRL.md	?	?	제외		7	내용 없음
final_project_cs/docs/history/2026-08-12_S-CTRL_resume_fix.md	?	?	제외		10	git 으로 복원 가능. 결정만 추출
final_project_cs/docs/history/2026-08-12_S-CTRL_tests.md	?	?	제외		9	내용 없음
final_project_cs/docs/history/2026-08-12_S-DB.md	?	?	제외		7	내용 없음
final_project_cs/docs/history/2026-08-12_S-DB_fix.md	?	?	제외		8	내용 없음
final_project_cs/docs/history/2026-08-12_S-DOD.md	?	?	제외		8	내용 없음
final_project_cs/docs/history/2026-08-12_S-EVAL.md	?	?	제외		7	내용 없음
final_project_cs/docs/history/2026-08-12_S-EVAL_live.md	?	?	제외		8	내용 없음
final_project_cs/docs/history/2026-08-12_S-EVAL_run.md	?	?	제외		8	내용 없음
final_project_cs/docs/history/2026-08-12_S-EVIDENCE.md	?	?	제외		8	내용 없음
final_project_cs/docs/history/2026-08-12_S-GAPTEST.md	?	?	제외		8	내용 없음
final_project_cs/docs/history/2026-08-12_S-RAG_ingest.md	?	?	제외		7	내용 없음
final_project_cs/docs/history/2026-08-12_S-RAG_ingest_fix.md	?	?	제외		9	내용 없음
final_project_cs/docs/history/2026-08-12_S-RAG_v2.md	?	?	제외		7	내용 없음
final_project_cs/docs/history/2026-08-12_S-RAG_v3.md	?	?	제외		9	내용 없음
final_project_cs/docs/history/2026-08-12_S-RAG_v4.md	?	?	제외		7	내용 없음
final_project_cs/docs/history/2026-08-12_S-RAG_v5.md	?	?	제외		8	내용 없음
final_project_cs/docs/history/2026-08-12_S-RAG_코퍼스25건.md	?	?	제외		8	내용 없음
final_project_cs/docs/history/2026-08-12_S-TEAM.md	?	?	제외		8	내용 없음
final_project_cs/docs/history/2026-08-12_S-UI.md	?	?	제외		7	내용 없음
final_project_cs/docs/history/2026-08-12_S-VOC.md	?	?	제외		8	내용 없음
final_project_cs/docs/history/2026-08-12_S-WIRE.md	?	?	제외		9	내용 없음
final_project_cs/docs/history/2026-08-13_S-GRAPHTEST.md	?	?	제외		9	내용 없음
final_project_cs/docs/history/2026-08-13_비전_문서_작성.md	?	?	제외		7	내용 없음
final_project_cs/docs/history/2026-08-14_1546_A-COP_init_plan_6인팀_v1.md	plan	hub/delivery	제외		7	내용 없음
final_project_cs/docs/history/2026-08-17_1540_S-EVAL-DATASETS.md	?	?	제외		20	git 으로 복원 가능. 결정만 추출
final_project_cs/docs/history/2026-08-17_1601_S-SEED-DEMO.md	?	?	제외		16	git 으로 복원 가능. 결정만 추출
final_project_cs/docs/history/2026-08-17_1620_S-VOC-CLASSIFIER.md	?	?	제외		20	git 으로 복원 가능. 결정만 추출
final_project_cs/docs/history/2026-08-17_1645_S-LIVE-CLASSIFIER-E2E.md	?	?	제외		18	git 으로 복원 가능. 결정만 추출
final_project_cs/docs/history/2026-08-17_2255_DoD-18_브라우저재검증.md	?	?	제외		19	git 으로 복원 가능. 결정만 추출
final_project_cs/docs/history/2026-08-17_2315_Case생성_승인큐_유령항목.md	?	?	제외		15	git 으로 복원 가능. 결정만 추출
final_project_cs/docs/history/2026-08-17_2350_handoff계약_동기화_및_프롬프트감사_발견.md	?	?	제외		17	git 으로 복원 가능. 결정만 추출
final_project_cs/docs/history/2026-08-18_0010_S-AUDIT-SWEEP_교차검증.md	?	?	제외		20	git 으로 복원 가능. 결정만 추출
final_project_cs/docs/history/2026-08-18_S-PROMPT-AUDIT-WIRING.md	?	?	제외		20	git 으로 복원 가능. 결정만 추출
final_project_cs/docs/history/2026-08-18_S-TEAM-COVERAGE-EXPAND-2.md	?	?	제외		21	git 으로 복원 가능. 결정만 추출
final_project_cs/docs/history/2026-08-18_S-TEAM-COVERAGE-EXPAND.md	?	?	제외		22	git 으로 복원 가능. 결정만 추출
final_project_cs/docs/history/2026-08-18_judge_agreement_도구_신설.md	?	?	제외		18	git 으로 복원 가능. 결정만 추출
final_project_cs/docs/history/2026-08-19_DoD29_및_composition_결함수정.md	?	?	제외		18	git 으로 복원 가능. 결정만 추출
final_project_cs/docs/history/2026-08-30_모듈토글_실효화.md	?	?	제외		44	git 으로 복원 가능. 결정만 추출
final_project_cs/docs/history/2026-08-31_테스트_사각지대_회귀테스트.md	?	?	제외	decision+plan	70	git 으로 복원 가능. 결정만 추출
final_project_cs/docs/manuals/2026-08-12_1520_환경_기동절차.md	runbook	cs/operations	유지		98	
final_project_cs/docs/manuals/운영_unknown상태_대응절차.md	runbook	cs/operations	판정필요	decision+report+policy	204	신호 3종·204줄
final_project_cs/docs/plans/2026-08-12_1507_A-COP_실행계획서_v1.md	plan	hub/delivery	판정필요	decision+plan+report+policy	309	신호 4종·309줄
final_project_cs/docs/plans/2026-08-14_1546_A-COP_init_plan_6인팀_v1.md	plan	hub/delivery	판정필요	plan+report+policy	220	신호 3종·220줄
final_project_cs/docs/plans/2026-08-16_v7_격차해소_실행계획.md	plan	hub/delivery	유지	plan+policy	150	
final_project_cs/docs/plans/2026-08-17_코퍼스_25문서_배분안.md	plan	hub/delivery	판정필요	plan+report+policy	214	신호 3종·214줄
final_project_cs/docs/plans/2026-08-30_2100_모듈토글_실효화_설계.md	plan	hub/delivery 또는 cs/decisions	유지	plan+report+policy	88	
final_project_cs/docs/plans/2026-08-30_DoD28-FT-RAG통합_설계.md	plan	hub/delivery 또는 cs/decisions	판정필요	decision+plan+report+research+policy	579	신호 5종·579줄
final_project_cs/docs/plans/2026-08-31_1154_테스트_사각지대_회귀테스트_설계.md	plan	hub/delivery 또는 cs/decisions	유지	plan+policy	99	
final_project_cs/docs/release_checklist.md	?	?	유지	decision+report	159	
final_project_cs/docs/reports/2026-08-12_1630_P0-P1_및_Codex1차_검수_리포트.md	?	?	제외	plan+report	147	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_2045_RAG검색_수정_리포트.md	?	?	제외	decision+plan+report	91	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_S-API_REST_MCP_리포트.md	?	?	제외		100	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_S-API_수정_리포트.md	?	?	제외		71	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_S-CTRL_resume수정_리포트.md	?	?	제외		75	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_S-CTRL_리포트.md	?	?	제외		78	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_S-CTRL_테스트_리포트.md	?	?	제외		85	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_S-DB_seed보강_테스트격리_리포트.md	?	?	제외		95	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_S-DB_스키마_마이그레이션_리포트.md	?	?	제외	plan+report	99	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_S-DOD_검증도구_리포트.md	?	?	제외		79	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_S-EVAL_리포트.md	?	?	제외		97	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_S-EVAL_실제실행_리포트.md	?	?	제외		20	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_S-EVAL_전량실행_리포트.md	?	?	제외		76	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_S-EVIDENCE_실측수집_리포트.md	?	?	제외		36	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_S-GAPTEST_리포트.md	?	?	제외		78	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_S-RAG_검색수정_리포트.md	?	?	제외		107	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_S-RAG_적재_검색_리포트.md	?	?	제외		78	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_S-RAG_코퍼스25건_v2_리포트.md	?	?	제외		55	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_S-RAG_코퍼스25건_리포트.md	?	?	제외	plan+report	92	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_S-RAG_코퍼스_v3_리포트.md	?	?	제외		51	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_S-RAG_코퍼스_v4_리포트.md	?	?	제외		61	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_S-RAG_코퍼스_v5_리포트.md	?	?	제외		50	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_S-TEAM_리포트.md	?	?	제외		86	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_S-UI_리포트.md	?	?	제외		77	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_S-VOC_리포트.md	?	?	제외	decision+report	61	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_S-WIRE_분류기연결_리포트.md	?	?	제외		50	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_평가결과_리포트.md	?	?	제외		51	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-12_평가러너_프롬프트배선_수정.md	?	?	제외		48	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-13_1153_비전_문서_작성_리포트.md	?	?	제외	plan+report	51	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-13_1300_비전_비용_재산정_리포트.md	?	?	제외		26	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-13_1300_신계획서_A2A_Graph_반영률_점검.md	?	?	제외		75	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-13_Basement_구조검사.md	?	?	제외		91	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-13_Basement_구조검사_v2.md	?	?	제외	decision+report+concept	97	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-13_S-CAPABILITY_리포트.md	?	?	제외		72	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-13_S-COMPOSITION_리포트.md	?	?	제외		68	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-13_S-FIX3_리포트.md	?	?	제외		56	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-13_S-GRAPHTEST_리포트.md	?	?	제외		59	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-13_S-ISOLATION_리포트.md	?	?	제외		22	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-13_S-JSONFIX_리포트.md	?	?	제외		25	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-13_S-LLMFIX_리포트.md	?	?	제외		49	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-13_S-MODULARIZE_리포트.md	?	?	제외		56	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-13_S-PORTS2_리포트.md	?	?	제외		51	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-13_S-PORTS_리포트.md	?	?	제외		57	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-13_S-PROPOSED2_리포트.md	?	?	제외		61	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-13_S-PROPOSED_리포트.md	?	?	제외		60	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-13_S-REMEASURE_리포트.md	?	?	제외		62	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-13_S-RESCORE_리포트.md	?	?	제외		101	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-13_S-STATSFIX_리포트.md	?	?	제외		37	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-13_S-SUBMIT_리포트.md	?	?	제외	decision+policy	67	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-13_S-TEAMANSWER_리포트.md	?	?	제외		30	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-13_평가_인용검증_수정.md	?	?	제외		52	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-14_1546_A-COP_init_plan_6인팀_v1_리포트.md	plan	hub/delivery	제외	plan+report	47	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-14_S-ADMINUI_리포트.md	?	?	제외	report+research	100	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-14_S-COMPOSER-WIRE_리포트.md	?	?	제외		64	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-14_S-COMPOSER_리포트.md	?	?	제외		63	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-14_S-CONFIGVALIDATE_리포트.md	?	?	제외		65	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-14_S-DODFINISH_리포트.md	?	?	제외		36	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-14_S-IDEMKEY_리포트.md	?	?	제외		54	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-14_S-PROJECTYAML_리포트.md	?	?	제외		54	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-14_S-TRACE-ABL_리포트.md	?	?	제외		38	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-14_S-UI-QUALITY_리포트.md	?	?	제외		65	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-14_모듈구성기_설계검토.md	?	?	제외	decision+plan+research	119	그 시점 기록. 결정·증거만 추출
final_project_cs/docs/reports/2026-08-16_v7_반영도_검토.md	?	?	제외	decision+policy	178	그 시점 기록. 결정·증거만 추출
