# dataset 28건 전건 판정 — report-split.md 의 한 줄 기준을 적용
#   "날짜를 적어야 말이 되면 report 다"
# 형식: 줄수 / 휴리스틱 / 사람type / 판정 / 근거
줄수	휴리스틱	사람type	판정	근거	경로
27	dataset	report	제외	영문 코드 리뷰. 내용이 REPORT.md 결과 5 에 있다	mt/olist_reviews_mt_bench/scripts/mt_bench_runner_extra_review.md
23	dataset	report	제외	동. 위 문서의 요약	mt/olist_reviews_mt_bench/scripts/codex_review_extra_runner.md
18	dataset	report	제외	6차 표본에서 판정함. 영문 작업 로그	mt/olist_reviews_mt_bench/scripts/codex_cautious_runner.md
10	dataset	report	제외	영문 변경 기록. MADLAD 메모리 한도만 고유	mt/olist_reviews_mt_bench/scripts/mt_bench_runner_single_report.md

# 집계
# type 일치       12/28 = 42.9%
# 판정 분포: 이관 13 · 분할 10 · 제외 5
#
# ★ 실제 type: dataset 12 · report 7 · research 4 · reference 3 · plan 1 · policy 1
#   datasets/ 아래 있다고 dataset 이 아니다. 절반이 다른 것이었다.
#
# ★ 분할 10건 중 8건이 report-split.md 의 한 줄 기준에 그대로 걸렸다.
#   "전처리 결과 (2026-09-01)" · "★2026-08-28 갱신" · "지금 몇 건인가"
#   제목에 날짜가 붙은 절이 그 신호다.
#
# ★ H1 이 3개인 파일 2건은 규칙 이전의 문제다. 한 파일에 두 문서가 들어 있다.

# ── 이관 실행 기록 (2026-09-02) ──
#
# ★9차 판정 "이관 13건" 을 정정한다.
#   datasets/wiki/index.md 에 이미 "REPORT 는 이관하지 않는다" 는 결정이 있었다.
#   REPORT 는 데이터와 함께 살아야 하고 상당수가 스크립트로 재생성된다.
#   판정할 때 이 결정을 안 봤다.
#
# 정정된 판정
#   REPORT.md 계열 6건        →  제자리
#   규칙·판단·선정 근거 4건    →  이관 (완료)
#   작업기록·coupang REPORT   →  제자리 (시점 기록)
#   실제HTML_주문카드          →  scraper-notes.md 에 흡수 (완료)
#
# 이관한 것
#   commerce/DISTRIBUTION.md        → datasets/wiki/distribution.md
#   sources_catalog 조사 3건         → datasets/wiki/source-selection.md
#   docs/실제HTML_주문카드.md          → scraper-notes.md 의 선택자 절
#
# ★이관하며 확인한 것
#   - 배포 합본에 집 열쇠 위치가 51건 들어 있었다. 개인정보 규칙이라 wiki 필수
#   - 완결성 점검의 ECMC 권고가 실제 데이터셋 폴더가 됐다. 점검이 빈 자리를 짚었다
#   - KR3 라이선스 기재가 카탈로그에서 틀렸었다
